Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Fiscal Year
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,17.8103,0,17.8103,2021-03-09,2021-03-31,2076/2077
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,15.3457,0.8076,16.1534,2021-03-15,2021-04-01,2076/2077
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,8.12,0.4274,8.5474,2021-02-24,2021-04-01,2076/2077
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,10,0,10,2021-03-05,2021-04-04,2076/2077
IGIL,IME General Insurance Limited,7,0.37,7.37,2021-02-17,2021-04-15,2076/2077
RLFL,Reliance Finance Limited,10,0.53,10.53,2021-03-05,2021-04-23,2076/2077
PICL,Prudential Insurance Company Limited,8,0.42,8.42,2021-02-08,2021-05-02,2076/2077
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,49.4,2.6,52,2021-02-02,2021-05-06,2076/2077
PRIN,Prabhu Insurance Company Limited,10,0.53,10.53,2021-02-14,2021-05-09,2076/2077
EIC,Everest Insurance Company Limited,8,0.42,8.42,2021-03-05,2021-05-12,2076/2077
HGI,Himalayan General Insurance Company Limited,3,3.75,6.75,2021-02-16,2021-05-27,2076/2077
SIL,Siddhartha Insurance Limited,12,3.7894,15.7894,2021-03-25,2021-05-28,2076/2077
LGIL,Lumbini General Insurance Limited,5,5,10,2021-04-16,2021-05-28,2076/2077
CIT,Citizen Investment Trust,9,8.8947,17.8947,2021-04-04,2021-06-22,2076/2077
NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,14,0,14,2021-06-14,2021-06-22,2076/2077
RADHI,Radhi Bidyut Company Limited,36.5,0,36.5,2021-05-17,2021-06-29,2076/2077
SIC,Sagarmatha Insurance Company Limited,11,0.5789,11.5789,2021-05-19,2021-07-01,2076/2077
NIL,Neco Insurance Limited,15.5,0.82,16.32,2021-05-24,2021-07-02,2076/2077
LUK,Laxmi Unnati Kosh,0,25,25,2021-07-20,2021-07-28,2077/2078
NLG,NLG Insurance Company Limited,10,0.5263,10.5263,2021-06-01,2021-07-29,2076/2077
NIBLSF,NIBL Sahabhagita Fund,0,50,50,2021-07-30,2021-07-29,2077/2078
LEMF,Laxmi Equity Fund,0,35,35,2021-07-22,2021-07-30,2077/2078
ALICL,Asian Life Insurance Company Limited,0,0,0,2021-03-03,2021-08-01,2075/2076
KEF,Kumari Equity Fund,0,5,5,2021-08-02,2021-08-09,2077/2078
NADDF,NIC Asia Dynamic Debt Fund,0,10,10,2021-08-01,2021-08-12,2077/2078
NIBSF1,NIBL Samriddhi Fund 1,0,35,35,2021-07-30,2021-08-13,2077/2078
NIBLPF,NIBL Pragati Fund,0,50,50,2021-07-30,2021-08-13,2077/2078
SEF,Siddhartha Equity Fund,0,30,30,2021-08-06,2021-08-16,2077/2078
SIGS2,Siddhartha Investment Growth Scheme-2,0,30,30,2021-08-06,2021-08-16,2077/2078
SPDL,Synergy Power Development Limited,10,0.5263,10.5263,2021-08-09,2021-08-20,2077/2078
AKPL,Arun Kabeli Power Limited,17,0.89,17.89,2021-08-18,2021-08-31,2077/2078
SFMF,Sunrise First Mutual Fund,0,50,50,2021-08-16,2021-09-01,2077/2078
NGPL,Ngadi Group Power Limited,20,1.05,21.05,2021-08-15,2021-09-03,2077/2078
API,Api Power Company Limited,10.5,0.55,11.05,2021-08-17,2021-09-03,2077/2078
NMB50,NMB 50,0,30,30,2021-08-17,2021-09-03,2077/2078
NMBHF1,NMB Hybrid Fund L- 1,0,20,20,2021-08-17,2021-09-03,2077/2078
CMF1,Citizens Mutual Fund-1,0,40,40,2021-08-18,2021-09-09,2077/2078
CMF2,Citizens Mutual Fund - 2,0,40,40,2021-08-18,2021-09-09,2077/2078
NICGF,NIC Asia Growth Fund,0,30,30,2021-08-01,2021-09-12,2077/2078
NICBF,NIC ASIA Balanced Fund,0,30,30,2021-08-01,2021-09-12,2077/2078
SLCF,Sanima Large Cap Fund,0,4,4,2021-09-01,2021-09-17,2077/2078
SAEF,Sanima Equity Fund,0,33,33,2021-09-01,2021-09-17,2077/2078
EDBL,Excel Development Bank Limited,12,0.63,12.63,2021-04-09,2021-09-17,2076/2077
NLO,Nepal Lube Oil Limited,30,5,35,2021-09-12,2021-09-21,2077/2078
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10,0.5263,10.5263,2021-08-18,2021-09-23,2077/2078
RURU,Ru Ru Jalbidhyut Pariyojana Limited,0,10.5263,10.5263,2021-08-18,2021-09-23,2076/2077
AHPC,Arun Valley Hydropower Development Company Limited,10,0.526,10.526,2021-09-16,2021-09-27,2077/2078
NEF,Nabil Equity Fund,0,40,40,2021-09-08,2021-09-27,2077/2078
NBF2,Nabil Balanced Fund - 2,0,35,35,2021-09-08,2021-09-27,2077/2078
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,20,1.053,21.053,2021-09-02,2021-09-28,2077/2078
SHPC,Sanima Mai Hydropower Limited,10,0.5263,10.5263,2021-09-10,2021-10-04,2077/2078
CZBIL,Citizens Bank International Limited,12.913,3.087,16,2021-09-26,2021-10-08,2077/2078
UNL,Unilever Nepal Limited,0,650,650,2021-09-07,2021-10-11,2077/2078
RHPC,Ridi Hydropower Development Company Limited,0,12.6,12.6,2021-09-30,2021-10-19,2077/2078
STC,Salt Trading Corporation Limited,20,5,25,2021-04-05,2021-10-19,2076/2077
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,25,1.32,26.32,2021-09-10,2021-10-20,2077/2078
RRHP,Rairang Hydropower Development Company Limited.,0,12.6,12.6,2021-10-11,2021-10-21,2077/2078
SADBL,Shangrila Development Bank Limited,10,0.5263,10.5263,2021-10-06,2021-10-22,2077/2078
SANIMA,Sanima Bank Limited,17,0.8947,17.8947,2021-09-23,2021-10-24,2077/2078
MBL,Machhapuchchhre Bank Limited,13.3,0.7,14,2021-10-08,2021-10-24,2077/2078
SHIVM,Shivam Cements Limited,0,29,29,2021-10-10,2021-10-25,2077/2078
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,16.9064,0.8894,17.796,2021-09-27,2021-10-25,2077/2078
KBL,Kumari Bank Limited,6,2.67,8.67,2021-09-28,2021-10-25,2077/2078
KSBBL,Kamana Sewa Bikas Bank Limited,18.5,0.97,19.47,2021-09-24,2021-10-27,2077/2078
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,25,0,25,2021-09-08,2021-10-29,2077/2078
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,25,1.3158,26.3158,2021-10-04,2021-10-29,2077/2078
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),19,1,20,2021-09-30,2021-10-31,2077/2078
NBB,Nepal Bangladesh Bank Limited,12,3.5,15.5,2021-10-10,2021-11-01,2077/2078
GLICL,Gurans Life Insurance Company Limited,5.5004,0.2895,5.7899,2021-10-28,2021-11-09,2075/2076
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,0,5.41,5.41,2021-10-05,2021-11-09,2077/2078
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,20,7.3684,27.3684,2021-10-03,2021-11-16,2077/2078
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,10,0.5263,10.5263,2021-10-03,2021-11-16,2077/2078
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,10,0.53,10.53,2021-09-05,2021-11-21,2077/2078
NIBPO,Nepal Investment Bank Limited Promoter Share,12.611,3.389,16,2021-10-04,2021-11-22,2077/2078
NIB,Nepal Investment Bank Limited,12.611,3.389,16,2021-10-04,2021-11-22,2077/2078
NIFRA,Nepal Infrastructure Bank Limited,8,0.42,8.42,2021-09-21,2021-11-25,2077/2078
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,20,1.0526,21.0526,2021-10-05,2021-11-25,2077/2078
SCB,Standard Chartered Bank Nepal Limited,10,3.06,13.06,2021-10-05,2021-11-26,2077/2078
PLIC,Prime Life Insurance Company Limited,15,0.87,15.87,2021-09-26,2021-11-26,2076/2077
BOKL,Bank of Kathmandu Limited,10,4,14,2021-10-26,2021-11-26,2077/2078
GBIME,Global IME Bank Limited,10,3.5,13.5,2021-10-11,2021-11-29,2077/2078
GILB,Global IME Laghubitta Bittiya Sanstha Limited,28,0,28,2021-10-06,2021-11-30,2077/2078
MEGA,Mega Bank Nepal Limited,10,2.07,12.07,2021-11-09,2021-11-30,2077/2078
MNBBL,Muktinath Bikas Bank Limited,17.575,0.925,18.5,2021-10-31,2021-12-01,2077/2078
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,47.5,2.5,50,2021-10-10,2021-12-02,2077/2078
EBL,Everest Bank Limited,6,4.32,10.32,2021-10-29,2021-12-03,2077/2078
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,31.05,1.63,32.68,2021-10-06,2021-12-03,2077/2078
SHINE,Shine Resunga Development Bank Limited,10.93,0.57,11.5,2021-11-01,2021-12-03,2077/2078
NBL,Nepal Bank Limited,14,3,17,2021-10-25,2021-12-07,2077/2078
GIMES1,Global IME Samunnat Scheme 1,0,100,100,2021-10-11,2021-12-08,2077/2078
PCBL,Prime Commercial Bank Limited,16,0.6313,16.6313,2021-11-09,2021-12-08,2077/2078
ICFC,ICFC Finance Limited,10,4,14,2021-10-17,2021-12-09,2077/2078
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,32.3,1.7,34,2021-10-03,2021-12-09,2077/2078
LBL,Laxmi Bank Limited,8,3.5,11.5,2021-11-11,2021-12-10,2077/2078
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20,5,25,2021-11-01,2021-12-10,2077/2078
RLI,Reliance Life Insurance Limited,,5.2632,5.2632,2021-12-05,2021-12-12,2076/2077
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,21.4876,1.1309,22.6185,2021-10-11,2021-12-12,2077/2078
LBBL,Lumbini Bikas Bank Limited,13,0.6842,13.6842,2021-10-26,2021-12-13,2077/2078
WOMI,Womi Laghubitta Bittiya Sanstha Limited,20,0,20,2021-11-12,2021-12-16,2077/2078
SMB,Support Laghubitta Bittiya Sanstha Limited,30,1.5789,31.5789,2021-10-24,2021-12-16,2077/2078
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,20,0,20,2021-11-11,2021-12-16,2077/2078
MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,17,0,17,2021-11-02,2021-12-19,2077/2078
SRBL,Sunrise Bank Limited,6.65,0.35,7,2021-11-09,2021-12-19,2077/2078
PRVU,Prabhu Bank Limited,12,0.63,12.63,2021-11-11,2021-12-19,2077/2078
HIDCL,Hydroelectricity Investment and Development Company Limited,8,0.421,8.421,2021-11-02,2021-12-20,2077/2078
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,25,1.3158,26.3158,2021-11-25,2021-12-20,2077/2078
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,19,6,25,2021-10-08,2021-12-21,2077/2078
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27,3,30,2021-11-18,2021-12-22,2077/2078
SBI,Nepal SBI Bank Limited,3.5,1.81,5.31,2021-11-24,2021-12-22,2077/2078
NMB,NMB Bank Limited,12.5,3.3,15.8,2021-10-31,2021-12-22,2077/2078
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,19,1,20,2021-10-28,2021-12-22,2077/2078
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,21.5,1.13,22.63,2021-10-29,2021-12-24,2077/2078
SLICL,Surya Life Insurance Company Limited,12.7,0.6684,13.3684,2021-10-31,2021-12-24,2076/2077
JBBL,Jyoti Bikash Bank Limited,11,4.5,15.5,2021-11-25,2021-12-24,2077/2078
HBL,Himalayan Bank Limited,21.38,4.62,26,2021-10-08,2021-12-26,2077/2078
BPCL,Butwal Power Company Limited,10,10,20,2021-12-15,2021-12-26,2077/2078
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,20.031,1.054,21.085,2021-11-16,2021-12-27,2077/2078
NCCB,Nepal Credit and Commerce Bank Limited,8,0.42,8.42,2021-12-01,2021-12-27,2077/2078
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,26,0,26,2021-10-31,2021-12-27,2077/2078
NHDL,Nepal Hydro Developer Limited,7,0.3684,7.3684,2021-12-17,2021-12-28,2077/2078
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,29.5,1.5526,31.0526,2021-11-26,2021-12-28,2077/2078
MLBL,Mahalaxmi Bikas Bank Limited,20,1.0526,21.0526,2021-11-29,2021-12-28,2077/2078
NRIC,Nepal Reinsurance Company Limited,16.5,2.5,19,2021-06-22,2021-12-29,2076/2077
MDB,Miteri Development Bank Limited,13.3,0.7,14,2021-12-09,2021-12-29,2077/2078
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,30,0,30,2021-10-29,2021-12-29,2077/2078
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,27.7,1.46,29.16,2021-11-21,2021-12-30,2077/2078
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,25.2853,0,25.2853,2021-12-17,2021-12-30,2077/2078
MFIL,Manjushree Finance Limited,40,6,46,2021-12-10,2021-12-30,2077/2078
CHCL,Chilime Hydro power Company Limited,7.5,7.5,15,2021-12-10,2021-12-30,2077/2078
NRN,NRN Infrastructure and Development Limited,5,0.26,5.26,2021-12-20,2021-12-30,2077/2078
HDL,Himalayan Distillery Limited,75,25,100,2021-12-22,2021-12-31,2077/2078
ADBL,Agricultural Development Bank Limited,20,1.0526,21.0526,2021-12-17,2021-12-31,2077/2078
GFCL,Goodwill Finance Company Limited,9.1,3.9,13,2021-12-13,2021-12-31,2077/2078
NABIL,Nabil Bank Limited,33.6,4.4,38,2021-11-03,2021-12-31,2077/2078
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,35,7,42,2021-12-08,2021-12-31,2077/2078
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,19,1,20,2021-12-13,2022-01-02,2077/2078
NEPSE,Nepal Stock Exchange Limited,66.67,100,166.67,2021-12-23,2022-01-02,2077/2078
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,20,5,25,2021-12-01,2022-01-02,2077/2078
SBL,Siddhartha Bank Limited,14.25,0.75,15,2021-10-25,2022-01-02,2077/2078
CFCL,Central Finance Limited,7.7,3.3,11,2021-12-16,2022-01-02,2077/2078
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,20,0,20,2021-08-15,2022-01-03,2077/2078
RBBL,Rastriya Banijya Bank Limited,30,3,33,2021-12-23,2022-01-03,2077/2078
KPCL,Kalika Power Company Limited,15,0.7895,15.7895,2021-12-24,2022-01-03,2077/2078
CCBL,Century Commercial Bank Limited,5.75,0.3,6.05,2021-12-17,2022-01-03,2077/2078
PROFL,Progressive Finance Limited,6,0.3157,6.3157,2021-12-17,2022-01-03,2077/2078
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,25,1.3158,26.3158,2021-12-12,2022-01-03,2077/2078
RLFL,Reliance Finance Limited,15,0.79,15.79,2021-12-20,2022-01-04,2077/2078
CBL,Civil Bank Limited,5,0.26,5.26,2021-12-21,2022-01-04,2077/2078
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,25,1.3157,26.3157,2021-12-06,2022-01-05,2077/2078
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,13,0,13,2021-11-25,2022-01-05,2077/2078
PFL,Pokhara Finance Limited,8.075,0.425,8.5,2021-12-17,2022-01-05,2077/2078
MPFL,Multipurpose Finance Company Limited,13,0.68,13.68,2021-12-15,2022-01-05,2077/2078
GMFIL,Guheswori Merchant Banking & Finance Limited,10,0.5263,10.5263,2021-12-02,2022-01-06,2077/2078
SIFC,Shree Investment Finance Company Limited,7.7,3.3,11,2021-12-01,2022-01-06,2077/2078
NMFBS,National Laghubitta Bittiya Sanstha Limited,40,5,45,2021-11-18,2022-01-11,2077/2078
NADEP,NADEP Laghubitta Bittiya Sanstha Limited,20,1.053,21.053,2021-10-28,2022-01-17,2077/2078
PIC,Premier Insurance Company (Nepal) Limited,14.25,0.75,15,2022-01-14,2022-01-19,2077/2078
ALICL,Asian Life Insurance Company Limited,25,2,27,2021-11-17,2022-01-26,2076/2077
JLI,Jyoti Life Insurance Company Limited,10,0.5263,10.5263,2021-11-01,2022-02-07,2076/2077
JFL,Janaki Finance Company Limited,15,0.7895,15.7895,2022-01-11,2022-02-07,2077/2078
LICN,Life Insurance Corporation Nepal Limited,20,1.0526,21.0526,2021-12-24,2022-02-07,2076/2077
NHPC,National Hydro Power Company Limited,18.525,0.975,19.5,2022-02-14,2022-02-25,2077/2078
HGI,Himalayan General Insurance Company Limited,6.65,0.35,7,2022-01-06,2022-02-28,2077/2078
NLICL,National Life Insurance Company Limited,19,1,20,2022-01-27,2022-03-06,2076/2077
NIL,Neco Insurance Limited,15,0.79,15.79,2022-01-17,2022-03-15,2077/2078
GBBL,Garima Bikas Bank Limited,16,0,16,2022-01-06,2022-03-18,2077/2078
NLG,NLG Insurance Company Limited,10,0.5263,10.5263,2022-01-28,2022-03-20,2077/2078
NLIC,Nepal Life Insurance Company Limited,14,0.7368,14.7368,2022-02-06,2022-03-21,2076/2077
NTC,Nepal Doorsanchar Company Limited,20,20,40,2022-03-15,2022-03-25,2077/2078
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,70,3.68,73.68,2022-02-20,2022-03-26,2077/2078
STC,Salt Trading Corporation Limited,10,0.5,10.5,2022-03-13,2022-03-29,2077/2078
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,21,0,21,2022-02-09,2022-03-31,2077/2078
SIL,Siddhartha Insurance Limited,15,0.7895,15.7895,2022-02-03,2022-03-31,2077/2078
PRIN,Prabhu Insurance Company Limited,11,0.58,11.58,2022-01-14,2022-03-31,2077/2078
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,19,1,20,2022-02-23,2022-04-06,2077/2078
PICL,Prudential Insurance Company Limited,7,0.368,7.368,2022-02-08,2022-04-07,2077/2078
IGIL,IME General Insurance Limited,7,0.37,7.37,2022-02-17,2022-04-08,2077/2078
EIC,Everest Insurance Company Limited,6,0.3158,6.3158,2022-02-23,2022-04-25,2077/2078
SIC,Sagarmatha Insurance Company Limited,20,1.0526,21.0526,2022-02-25,2022-04-29,2077/2078
NICL,Nepal Insurance Company Limited,11,0.5789,11.5789,2022-03-22,2022-05-31,2077/2078
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,9.33,0.5,9.83,2022-03-28,2022-06-01,2077/2078
KLBSL,Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited),20,0,20,2022-01-17,2022-06-03,2077/2078
SLI,Sanima Life Insurance Company Limited,4.2,0.22,4.42,2022-04-13,2022-06-22,2076/2077
LGIL,Lumbini General Insurance Limited,9.5,0.5,10,2022-06-23,2022-06-29,2077/2078
EDBL,Excel Development Bank Limited,8.5,0.45,8.95,2022-06-14,2022-07-12,2077/2078
CIT,Citizen Investment Trust,30,1.5789,31.5789,2022-06-25,2022-08-10,2077/2078
NMBHF1,NMB Hybrid Fund L- 1,0,21.0526,21.0526,2022-08-05,2022-08-16,2078/2079
NMB50,NMB 50,0,21.0526,21.0526,2022-08-05,2022-08-16,2078/2079
LUK,Laxmi Unnati Kosh,0,5,5,2022-08-02,2022-08-23,2078/2079
SEF,Siddhartha Equity Fund,0,9,9,2022-08-11,2022-08-23,2078/2079
LEMF,Laxmi Equity Fund,0,5,5,2022-08-02,2022-08-23,2078/2079
SIGS2,Siddhartha Investment Growth Scheme-2,0,10,10,2022-08-11,2022-08-23,2078/2079
NIBLSF,NIBL Sahabhagita Fund,0,7.2,7.2,2022-08-26,2022-08-25,2078/2079
NRIC,Nepal Reinsurance Company Limited,5,0.2632,5.2632,2022-06-19,2022-09-04,2077/2078
SFMF,Sunrise First Mutual Fund,0,12,12,2022-08-31,2022-09-14,2078/2079
NIBLPF,NIBL Pragati Fund,0,4.2,4.2,2022-08-25,2022-09-14,2078/2079
ALICL,Asian Life Insurance Company Limited,14.5,0.76,15.26,2022-08-07,2022-09-20,2077/2078
SAEF,Sanima Equity Fund,0,22,22,2022-09-13,2022-09-25,2078/2079
SHPC,Sanima Mai Hydropower Limited,0,5.2632,5.2632,2022-09-06,2022-09-28,2078/2079
NLO,Nepal Lube Oil Limited,25,5,30,2022-09-21,2022-09-30,2078/2079
GLICL,Gurans Life Insurance Company Limited,7.4425,0.3917,7.8342,,2022-10-12,2076/2077
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10,0.5263,10.5263,2022-09-25,2022-10-13,2078/2079
CZBIL,Citizens Bank International Limited,0,9,9,2022-09-22,2022-10-14,2078/2079
KBL,Kumari Bank Limited,0,12.5,12.5,2022-09-30,2022-10-31,2078/2079
NICBF,NIC ASIA Balanced Fund,0,13,13,2022-10-16,2022-11-01,2078/2079
NADDF,NIC Asia Dynamic Debt Fund,0,6,6,2022-10-16,2022-11-01,2078/2079
NCCB,Nepal Credit and Commerce Bank Limited,3.3663,7.6337,11,2022-10-16,2022-11-01,2078/2079
NICGF,NIC Asia Growth Fund,0,13,13,2022-10-16,2022-11-01,2078/2079
NBF2,Nabil Balanced Fund - 2,0,7,7,2022-10-12,2022-11-04,2078/2079
NEF,Nabil Equity Fund,0,5,5,2022-10-12,2022-11-04,2078/2079
NLIC,Nepal Life Insurance Company Limited,0,15.7895,15.7895,2022-09-16,2022-11-04,2077/2078
AKPL,Arun Kabeli Power Limited,10,0.5263,10.5263,2022-09-20,2022-11-04,2078/2079
NIFRA,Nepal Infrastructure Bank Limited,0,4.2105,4.2105,2022-09-23,2022-11-17,2078/2079
UNL,Unilever Nepal Limited,0.00,"1,215.00","1,215.00",2022-11-03,2022-11-20,2078/2079
GBIME,Global IME Bank Limited,3,10.6,13.6,2022-10-29,2022-11-23,2078/2079
SCB,Standard Chartered Bank Nepal Limited,0,16.51,16.51,2022-10-31,2022-11-23,2078/2079
NLICL,National Life Insurance Company Limited,15,0.789,15.789,2022-09-13,2022-11-24,2077/2078
BOKL,Bank of Kathmandu Limited,6,14.95,20.95,2022-10-16,2022-11-25,2078/2079
EBL,Everest Bank Limited,13,7.68,20.68,2022-11-06,2022-11-29,2078/2079
UMRH,United Idi-Mardi and R.B. Hydropower Limited,0,10.526,10.526,2022-11-24,2022-12-02,2078/2079
SANIMA,Sanima Bank Limited,10,0.98,10.98,2022-10-23,2022-12-05,2078/2079
NIB,Nepal Investment Bank Limited,4,7,11,2022-11-16,2022-12-07,2078/2079
NIBPO,Nepal Investment Bank Limited Promoter Share,4,7,11,2023-01-02,2022-12-07,2078/2079
MEGA,Mega Bank Nepal Limited,4,3.79,7.79,2022-11-16,2022-12-09,2078/2079
MEN,Mountain Energy Nepal Limited,0,10.5263,10.5263,2022-11-16,2022-12-13,2078/2079
PRVU,Prabhu Bank Limited,6.5,1.5,8,2022-11-18,2022-12-16,2078/2079
CHCL,Chilime Hydro power Company Limited,7.5,7.5,15,2022-12-07,2022-12-18,2078/2079
CCBL,Century Commercial Bank Limited,4.75,0.25,5,2022-12-01,2022-12-19,2078/2079
NRN,NRN Infrastructure and Development Limited,0,5.26,5.26,2022-12-04,2022-12-20,2078/2079
SHL,Soaltee Hotel Limited,5,21.3158,26.3158,2022-10-19,2022-12-22,2078/2079
PPCL,Panchthar Power Company Limited,0,7,7,2022-12-09,2022-12-22,2078/2079
NICL,Nepal Insurance Company Limited,8,0.4211,8.4211,,2022-12-23,2078/2079
PLIC,Prime Life Insurance Company Limited,13,0.6842,13.6842,2022-10-20,2022-12-23,2077/2078
GBBL,Garima Bikas Bank Limited,13,1.5,14.5,2022-11-11,2022-12-23,2078/2079
NMB,NMB Bank Limited,0,8.25,8.25,2022-12-06,2022-12-26,2078/2079
NHDL,Nepal Hydro Developer Limited,5,0.0263,5.0263,2022-11-28,2022-12-26,2078/2079
SHINE,Shine Resunga Development Bank Limited,13.3,0.7,14,2022-11-24,2022-12-27,2078/2079
RADHI,Radhi Bidyut Company Limited,4.75,0.25,5,2022-12-21,2022-12-28,2078/2079
SBI,Nepal SBI Bank Limited,3,7.53,10.53,2022-11-29,2022-12-28,2078/2079
SBL,Siddhartha Bank Limited,12.5,0.66,13.16,2022-12-07,2022-12-28,2078/2079
LBBL,Lumbini Bikas Bank Limited,3,9,12,2022-11-29,2022-12-28,2078/2079
BHDC,Bindhyabasini Hydropower Development Company Limited,5,0.0263,5.0263,2022-12-16,2022-12-28,2078/2079
PCBL,Prime Commercial Bank Limited,4,4.95,8.95,2022-12-15,2022-12-29,2078/2079
MDB,Miteri Development Bank Limited,12.35,0.65,13,2022-12-05,2022-12-29,2078/2079
NBL,Nepal Bank Limited,2,10,12,2022-12-16,2022-12-29,2078/2079
HIDCL,Hydroelectricity Investment and Development Company Limited,5,0.263,5.263,2022-12-15,2022-12-29,2078/2079
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,8,3,11,2022-11-27,2022-12-30,2078/2079
KPCL,Kalika Power Company Limited,15,0.7895,15.7895,2022-12-22,2023-01-01,2078/2079
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,19,1,20,2022-12-02,2023-01-01,2078/2079
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,25,5,30,2022-12-19,2023-01-01,2078/2079
UIC,United Insurance Company (Nepal) Limited,5,0.2632,5.2632,2022-11-13,2023-01-01,2078/2079
CFCL,Central Finance Limited,0,5,5,2022-12-21,2023-01-01,2078/2079
HBL,Himalayan Bank Limited,8,11.11,19.11,2022-12-20,2023-01-02,2078/2079
BPCL,Butwal Power Company Limited,5,7.5,12.5,2022-12-23,2023-01-02,2078/2079
NABIL,Nabil Bank Limited,18.5,11.5,30,2022-12-12,2023-01-02,2078/2079
NTC,Nepal Doorsanchar Company Limited,0,40,40,2022-12-22,2023-01-02,2078/2079
MLBL,Mahalaxmi Bikas Bank Limited,4,6.47,10.47,2022-12-18,2023-01-02,2078/2079
SIL,Siddhartha Insurance Limited,9,0.4737,9.4737,2022-11-16,2023-01-02,2078/2079
PFL,Pokhara Finance Limited,4,0.21,4.21,2022-12-20,2023-01-03,2078/2079
ICFC,ICFC Finance Limited,5,5,10,2022-12-01,2023-01-03,2078/2079
SIFC,Shree Investment Finance Company Limited,2.4,5.2,7.6,2022-12-16,2023-01-03,2078/2079
CBL,Civil Bank Limited,5,0.26,5.26,2022-12-20,2023-01-03,2078/2079
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,30,1.58,31.58,2022-12-23,2023-01-03,2078/2079
BNL,Bottlers Nepal Limited (Balaju),0,20,20,2022-09-24,2023-01-04,2078/2079
MNBBL,Muktinath Bikas Bank Limited,13.5,0.7105,14.2105,2022-12-18,2023-01-04,2078/2079
BNT,Bottlers Nepal (Terai) Limited,0,60,60,2022-09-24,2023-01-04,2078/2079
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,4,0.2105,4.2105,2022-12-14,2023-01-04,2078/2079
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,19,1,20,2022-12-23,2023-01-04,2078/2079
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,23,0,23,2022-12-22,2023-01-04,2078/2079
SHIVM,Shivam Cements Limited,0,10.53,10.53,2022-12-15,2023-01-04,2078/2079
HDL,Himalayan Distillery Limited,60,10,70,2022-11-25,2023-01-04,2078/2079
MHL,Mandakini Hydropower Limited,0,5,5,2022-12-16,2023-01-05,2078/2079
